artist,song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Olivia Rodrigo,Deja Vu,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,audio_features,6HU7h9RYOaPRFeh0R3UeAr,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,https://api.spotify.com/v1/tracks/6HU7h9RYOaPRFeh0R3UeAr,https://api.spotify.com/v1/audio-analysis/6HU7h9RYOaPRFeh0R3UeAr,215507,4
Drake,Fucking Fans,0.81,0.512,6,-8.066,0,0.0405,0.439,0.0114,0.0521,0.64,132.009,audio_features,2pTakvj4sNXjG7PEa1l66w,spotify:track:2pTakvj4sNXjG7PEa1l66w,https://api.spotify.com/v1/tracks/2pTakvj4sNXjG7PEa1l66w,https://api.spotify.com/v1/audio-analysis/2pTakvj4sNXjG7PEa1l66w,209773,4
Glass Animals,Heat Waves,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,audio_features,3USxtqRwSYz57Ewm6wWRMp,spotify:track:3USxtqRwSYz57Ewm6wWRMp,https://api.spotify.com/v1/tracks/3USxtqRwSYz57Ewm6wWRMp,https://api.spotify.com/v1/audio-analysis/3USxtqRwSYz57Ewm6wWRMp,238805,4
Wizkid Featuring Justin Bieber & Tems,Essence,0.849,0.707,0,-6.002,1,0.113,0.0266,8.58e-06,0.618,0.602,104.027,audio_features,5FG7Tl93LdH117jEKYl3Cm,spotify:track:5FG7Tl93LdH117jEKYl3Cm,https://api.spotify.com/v1/tracks/5FG7Tl93LdH117jEKYl3Cm,https://api.spotify.com/v1/audio-analysis/5FG7Tl93LdH117jEKYl3Cm,248040,4
Drake,The Remorse,0.473,0.53,0,-8.506,1,0.249,0.812,6.92e-06,0.227,0.637,74.732,audio_features,1cCXT1cErAY6tmIqHbodrt,spotify:track:1cCXT1cErAY6tmIqHbodrt,https://api.spotify.com/v1/tracks/1cCXT1cErAY6tmIqHbodrt,https://api.spotify.com/v1/audio-analysis/1cCXT1cErAY6tmIqHbodrt,351220,3
Doja Cat & The Weeknd,You Right,0.828,0.621,8,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,128.986,audio_features,0k4d5YPDr1r7FX77VdqWez,spotify:track:0k4d5YPDr1r7FX77VdqWez,https://api.spotify.com/v1/tracks/0k4d5YPDr1r7FX77VdqWez,https://api.spotify.com/v1/audio-analysis/0k4d5YPDr1r7FX77VdqWez,186173,4
The Weeknd,Take My Breath,0.748,0.74,8,-6.01,1,0.0484,0.0107,2.18e-05,0.101,0.518,121.004,audio_features,6OGogr19zPTM4BALXuMQpF,spotify:track:6OGogr19zPTM4BALXuMQpF,https://api.spotify.com/v1/tracks/6OGogr19zPTM4BALXuMQpF,https://api.spotify.com/v1/audio-analysis/6OGogr19zPTM4BALXuMQpF,220196,4
Doja Cat,Need To Know,0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,130.041,audio_features,3Vi5XqYrmQgOYBajMWSvCi,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,https://api.spotify.com/v1/tracks/3Vi5XqYrmQgOYBajMWSvCi,https://api.spotify.com/v1/audio-analysis/3Vi5XqYrmQgOYBajMWSvCi,210560,4
Maneskin,Beggin',0.714,0.8,11,-4.808,0,0.0504,0.127,0.0,0.359,0.589,134.002,audio_features,3Wrjm47oTz2sjIgck11l5e,spotify:track:3Wrjm47oTz2sjIgck11l5e,https://api.spotify.com/v1/tracks/3Wrjm47oTz2sjIgck11l5e,https://api.spotify.com/v1/audio-analysis/3Wrjm47oTz2sjIgck11l5e,211560,4
Marshmello X Jonas Brothers,Leave Before You Love Me,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,audio_features,4qu63nuBpdn0qHUHuObEj1,spotify:track:4qu63nuBpdn0qHUHuObEj1,https://api.spotify.com/v1/tracks/4qu63nuBpdn0qHUHuObEj1,https://api.spotify.com/v1/audio-analysis/4qu63nuBpdn0qHUHuObEj1,154983,4
Kanye West,Off The Grid,0.546,0.64,8,-5.582,1,0.37,0.0438,0.0,0.137,0.63,137.728,audio_features,2gbMPBrBVj3CuNTLp2dHYs,spotify:track:2gbMPBrBVj3CuNTLp2dHYs,https://api.spotify.com/v1/tracks/2gbMPBrBVj3CuNTLp2dHYs,https://api.spotify.com/v1/audio-analysis/2gbMPBrBVj3CuNTLp2dHYs,339250,4
Billie Eilish,Happier Than Ever,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,audio_features,4RVwu0g32PAqgUiJoXsdF8,spotify:track:4RVwu0g32PAqgUiJoXsdF8,https://api.spotify.com/v1/tracks/4RVwu0g32PAqgUiJoXsdF8,https://api.spotify.com/v1/audio-analysis/4RVwu0g32PAqgUiJoXsdF8,298899,3
Jason Aldean & Carrie Underwood,If I Didn't Love You,0.456,0.679,1,-4.802,1,0.0324,0.176,0.0,0.103,0.483,184.075,audio_features,5f3MXmTmstozFg0BH1yPUk,spotify:track:5f3MXmTmstozFg0BH1yPUk,https://api.spotify.com/v1/tracks/5f3MXmTmstozFg0BH1yPUk,https://api.spotify.com/v1/audio-analysis/5f3MXmTmstozFg0BH1yPUk,212030,4
Baby Keem & Kendrick Lamar,Family Ties,0.711,0.611,1,-5.453,1,0.329,0.00575,0.0,0.231,0.144,134.14,audio_features,7Bpx2vsWfQFBACRz4h3IqH,spotify:track:7Bpx2vsWfQFBACRz4h3IqH,https://api.spotify.com/v1/tracks/7Bpx2vsWfQFBACRz4h3IqH,https://api.spotify.com/v1/audio-analysis/7Bpx2vsWfQFBACRz4h3IqH,252070,4
Farruko,Pepas,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,audio_features,5fwSHlTEWpluwOM0Sxnh5k,spotify:track:5fwSHlTEWpluwOM0Sxnh5k,https://api.spotify.com/v1/tracks/5fwSHlTEWpluwOM0Sxnh5k,https://api.spotify.com/v1/audio-analysis/5fwSHlTEWpluwOM0Sxnh5k,287120,4
Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,audio_features,7MAibcTli4IisCtbHKrGMh,spotify:track:7MAibcTli4IisCtbHKrGMh,https://api.spotify.com/v1/tracks/7MAibcTli4IisCtbHKrGMh,https://api.spotify.com/v1/audio-analysis/7MAibcTli4IisCtbHKrGMh,242096,4
Justin Bieber Featuring Daniel Caesar & Giveon,Peaches,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,audio_features,4iJyoBOLtHqaGxP12qzhQI,spotify:track:4iJyoBOLtHqaGxP12qzhQI,https://api.spotify.com/v1/tracks/4iJyoBOLtHqaGxP12qzhQI,https://api.spotify.com/v1/audio-analysis/4iJyoBOLtHqaGxP12qzhQI,198082,4
Luke Bryan,Waves,0.494,0.771,1,-4.309,1,0.0626,0.0649,0.0,0.11,0.371,136.053,audio_features,027269uzraETHuoG6aMs6a,spotify:track:027269uzraETHuoG6aMs6a,https://api.spotify.com/v1/tracks/027269uzraETHuoG6aMs6a,https://api.spotify.com/v1/audio-analysis/027269uzraETHuoG6aMs6a,228440,4
Olivia Rodrigo,Traitor,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,audio_features,5CZ40GBx1sQ9agT82CLQCT,spotify:track:5CZ40GBx1sQ9agT82CLQCT,https://api.spotify.com/v1/tracks/5CZ40GBx1sQ9agT82CLQCT,https://api.spotify.com/v1/audio-analysis/5CZ40GBx1sQ9agT82CLQCT,229227,4
Kanye West,Moon,0.319,0.236,5,-9.644,1,0.0318,0.898,1.62e-05,0.272,0.254,162.351,audio_features,2Rd4eJ4KwXQQn2sMSToyUM,spotify:track:2Rd4eJ4KwXQQn2sMSToyUM,https://api.spotify.com/v1/tracks/2Rd4eJ4KwXQQn2sMSToyUM,https://api.spotify.com/v1/audio-analysis/2Rd4eJ4KwXQQn2sMSToyUM,156091,4
Lainey Wilson,Things A Man Oughta Know,0.659,0.683,3,-5.623,1,0.0312,0.513,4.93e-06,0.133,0.397,139.931,audio_features,5QS8PNEWbqTEZyQ6e9ZbJf,spotify:track:5QS8PNEWbqTEZyQ6e9ZbJf,https://api.spotify.com/v1/tracks/5QS8PNEWbqTEZyQ6e9ZbJf,https://api.spotify.com/v1/audio-analysis/5QS8PNEWbqTEZyQ6e9ZbJf,203373,4
Thomas Rhett,Country Again,0.467,0.481,2,-6.947,1,0.0255,0.227,0.000189,0.11,0.248,147.886,audio_features,3CiF9D8iuVhZWDvvjf8HpG,spotify:track:3CiF9D8iuVhZWDvvjf8HpG,https://api.spotify.com/v1/tracks/3CiF9D8iuVhZWDvvjf8HpG,https://api.spotify.com/v1/audio-analysis/3CiF9D8iuVhZWDvvjf8HpG,221240,4
Ryan Hurd With Maren Morris,Chasing After You,0.596,0.679,4,-6.395,1,0.0394,0.723,0.0,0.116,0.479,131.912,audio_features,1ZIKpMTRPqhwAoVXWY3tXI,spotify:track:1ZIKpMTRPqhwAoVXWY3tXI,https://api.spotify.com/v1/tracks/1ZIKpMTRPqhwAoVXWY3tXI,https://api.spotify.com/v1/audio-analysis/1ZIKpMTRPqhwAoVXWY3tXI,207974,4
