artist,song,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,origin,cluster
East 17,It's Alright - The Guvnor Mix,3PMlBjVjaNHytufQltTaZr,0.612,0.934,5,-4.7669999999999995,0,0.0417,0.0197,0.0,0.12,0.391,129.941,280961,4,0.0,3
The Who,My Generation - Original Mono Version,6UdCTwbVAvNqbWyZKZiRWL,0.332,0.8220000000000001,0,-6.558,0,0.0988,0.165,9.329999999999999e-05,0.161,0.745,96.25299999999999,197320,4,0.0,3
Sido,Bilder im Kopf,3AzVdNe7tCYbjjRzQyVLbN,0.7,0.8290000000000001,0,-5.417999999999999,1,0.20199999999999999,0.0823,0.0,0.32299999999999995,0.892,90.04799999999999,238560,4,0.0,1
Carlprit,Fiesta - Michael Mind Project Video Edit,2JQkq0krSQHMIiLURIum2j,0.544,0.9229999999999999,6,-5.593999999999999,1,0.21899999999999997,0.0159,0.0,0.336,0.779,128.326,191007,4,0.0,6
Sebastian Ingrosso,Reload - Vocal Version / Radio Edit,2sBWCCylFvS2wEIaW4NTv8,0.48700000000000004,0.737,4,-4.629,0,0.0513,0.0762,1.12e-06,0.0602,0.40399999999999997,128.054,221280,4,0.0,3
T-Pain,Turn All the Lights On (feat. Ne-Yo),5Ue25r0VGvZR7vaw3iB0gZ,0.6970000000000001,0.807,6,-3.049,0,0.0587,0.0382,0.0,0.47100000000000003,0.732,127.01,216440,4,0.0,0
Mike Candys,Everybody - Radio Edit,0BOKPwDkzLW9cmdgPhaXiF,0.76,0.8370000000000001,5,-2.782,0,0.11800000000000001,0.11,1.59e-05,0.0615,0.701,127.96700000000001,179789,4,0.0,3
Marteria,Lila Wolken,3CT1nhEnqol4rHIdwD7Rr7,0.5429999999999999,0.6759999999999999,1,-6.431,1,0.053,0.185,0.0,0.301,0.166,143.887,228053,4,0.0,2
R.I.O.,Summer Jam,0pJV5fExkPQosiiDp4OvUj,0.747,0.716,1,-5.152,0,0.0308,0.0828,7.59e-06,0.0773,0.8490000000000001,128.001,182657,4,0.0,3
ItaloBrothers,This Is Nightlife - Video Edit,0IpiiTfaDSiqpYg9MlBxw4,0.642,0.784,11,-5.2860000000000005,0,0.032,0.0271,3.0299999999999998e-05,0.308,0.877,128.004,162000,4,0.0,3
DJane HouseKat,All The Time (feat. Rameez) [Radio Version],6XcUVZGPkR1rPMkXQz5bBk,0.762,0.737,9,-3.904,1,0.16699999999999998,0.038,0.0,0.063,0.76,130.016,171874,4,0.0,1
Remady,Single Ladies - Remady 2K13 Radio Edit,6DCFfWMAUH6hfQiGQ44OPe,0.7040000000000001,0.8109999999999999,4,-3.011,0,0.0438,0.00743,0.0,0.27,0.795,128.002,221387,4,0.0,3
Bosse,Schönste Zeit,2toXFMUY2drm8KRillUHpA,0.6729999999999999,0.831,8,-5.178,1,0.0347,0.12300000000000001,0.0,0.209,0.534,121.0,232320,4,0.0,1
Skrillex,Bangarang (feat. Sirah),6VRhkROS2SZHGlp0pxndbJ,0.716,0.972,7,-2.302,1,0.196,0.0145,3.2200000000000003e-05,0.317,0.5760000000000001,110.02600000000001,215253,4,0.0,1
DJ Antoine,Sky Is the Limit,22W1OZtniQZgKQa3wnqZje,0.6920000000000001,0.7120000000000001,9,-5.716,0,0.0483,0.0251,0.0,0.0716,0.503,127.98100000000001,277799,4,0.0,3
Yasha,Strand,6npdnHdsDdRs9wZPMV8kaB,0.653,0.545,6,-8.274,1,0.0475,0.0846,0.000265,0.155,0.465,128.968,211027,4,0.0,1
Zedd,Clarity,0VGrgE7GbWaINRnh1bR4k9,0.523,0.78,8,-3.378,1,0.0748,0.0376,0.0,0.0751,0.187,128.003,271427,4,0.0,2
Kesha,C'Mon,4lAdOkj9Pj1952EYIKZmxg,0.5579999999999999,0.7809999999999999,1,-5.4479999999999995,0,0.0963,0.00657,0.00144,0.102,0.28600000000000003,126.025,214333,4,0.0,3
Otto Knows,Million Voices,3H2Fi9vc0vY61drCvFBa23,0.597,0.7190000000000001,3,-7.272,1,0.0601,0.00504,0.153,0.0677,0.254,125.97200000000001,355545,4,0.0,1
DJ Antoine,Ma chérie - DJ Antoine vs Mad Mark 2k12 Radio Edit,0bLFr9Lg9cKIMQV9hvHg8m,0.777,0.5870000000000001,5,-5.023,0,0.183,0.0316,7.120000000000001e-05,0.0416,0.857,127.96600000000001,191080,4,0.0,3
Madcon,One Life (feat. Kelly Rowland) - Radio Edit,2GL7gMtjLgbttGGCrUqeTd,0.47200000000000003,0.879,1,-1.723,0,0.0505,0.0698,0.0,0.259,0.40299999999999997,90.074,210320,4,0.0,3
Calvin Harris,Drinking from the Bottle (feat. Tinie Tempah),1oHxIPqJyvAYHy0PVrDU98,0.665,0.8859999999999999,9,-4.175,0,0.0514,0.0469,6.24e-05,0.0525,0.53,128.062,240347,4,0.0,3
Major Lazer,"Watch Out For This (Bumaye) [feat. Busy Signal, The Flexican & FS Green]",0pDYeia7ZXB8kbCuSc5hKp,0.828,0.755,10,-4.1160000000000005,0,0.156,0.0202,9.61e-06,0.0625,0.862,108.056,269147,4,0.0,3
Y-Titty,Halt dein Maul,05q207shONzq488RXdV0S1,0.5579999999999999,0.8,9,-3.7760000000000002,1,0.17300000000000001,0.0104,0.0,0.23399999999999999,0.812,150.06799999999998,218093,4,0.0,2
Sean Paul,Touch the Sky (feat. DJ Ammo),16lMe3mw46b7QRqO4eIdCZ,0.7929999999999999,0.9129999999999999,5,-5.324,0,0.17,0.00783,0.0761,0.24600000000000002,0.6809999999999999,129.99,232533,4,0.0,3
Mike Candys,One Night In Ibiza - Radio Mix feat Patrick Miller,3Z0KOu0VhHD9djitsBx1BR,0.711,0.9159999999999999,2,-4.493,1,0.0638,0.012,9.79e-06,0.154,0.45399999999999996,127.006,169355,4,0.0,1
La La Land,Not All About The Money (Radio Edit) [feat. Timbaland & Grooya],50kj6mfIMyySqjssvapXn3,0.725,0.9209999999999999,1,-5.497999999999999,0,0.0633,0.139,0.0,0.27699999999999997,0.92,131.608,190494,4,0.0,3
